ABBOTTS BABBLER,Malacocincla abbotti
ABBOTTS BOOBY,Papasula abbotti
ABYSSINIAN GROUND HORNBILL,Bucorvus abyssinicus
AFRICAN CROWNED CRANE,Balearica regulorum
AFRICAN EMERALD CUCKOO,Chrysococcyx cupreus
AFRICAN FIREFINCH,Lagonosticta rubricata
AFRICAN OYSTER CATCHER,Haematopus moquini
AFRICAN PIED HORNBILL,Tockus fasciatus
ALBATROSS,Diomedeidae
ALBERTS TOWHEE,Pipilo aberti
ALEXANDRINE PARAKEET,Psittacula eupatria
ALPINE CHOUGH,Pyrrhocorax graculus
ALTAMIRA YELLOWTHROAT,Geothlypis flavovelata
AMERICAN AVOCET,Psittacula eupatria
AMERICAN BITTERN,Botaurus lentiginosus
AMERICAN COOT,Fulica americana
AMERICAN FLAMINGO,Phoenicopterus ruber
AMERICAN GOLDFINCH,Spinus tristis
AMERICAN KESTREL,Falco sparverius
AMERICAN PIPIT,Anthus rubescens
AMERICAN REDSTART,Setophaga ruticilla
AMERICAN WIGEON,Mareca americana
AMETHYST WOODSTAR,Calliphlox amethystina
ANDEAN GOOSE,Chloephaga melanoptera
ANDEAN LAPWING,Vanellus resplendens
ANDEAN SISKIN,Spinus spinescens
ANHINGA,Anhinga anhinga
ANIANIAU,Magumma parva
ANNAS HUMMINGBIRD,Calypte anna
ANTBIRD,Thamnophilidae
ANTILLEAN EUPHONIA,Euphonia musica
APAPANE,Himatione sanguinea
APOSTLEBIRD,Struthidea cinerea
ARARIPE MANAKIN,Antilophia bokermanni
ASHY STORM PETREL,Oceanodroma homochroa
ASHY THRUSHBIRD,Geokichla cinerea
ASIAN CRESTED IBIS,Nipponia nippon
ASIAN DOLLARD BIRD,Eurystomus orientalis
AUCKLAND SHAQ,Leucocarbo colensoi
AUSTRAL CANASTERO,Asthenes anthoides
AUSTRALASIAN FIGBIRD,Sphecotheres vieilloti
AVADAVAT,Amandava amandava
AZARAS SPINETAIL,Synallaxis azarae
AZURE BREASTED PITTA,Pitta steerii
AZURE JAY,Cyanocorax caeruleus
AZURE TANAGER,Thraupis cyanoptera
AZURE TIT,Cyanistes cyanus
BAIKAL TEAL,Anas formosa
BALD EAGLE,Haliaeetus leucocephalus
BALD IBIS,Geronticus eremita
BALI STARLING,Leucopsar rothschildi
BALTIMORE ORIOLE,Icterus galbula
BANANAQUIT,Coereba flaveola
BAND TAILED GUAN,Penelope argyrotis
BANDED BROADBILL,Eurylaimus javanicus
BANDED PITA,Hydrornis guajana
BANDED STILT,Cladorhynchus leucocephalus
BAR-TAILED GODWIT,Limosa lapponica
BARN OWL,Tyto alba
BARN SWALLOW,Hirundo rustica
BARRED PUFFBIRD,Nystalus radiatus
BARROWS GOLDENEYE,Bucephala islandica
BAY-BREASTED WARBLER,Setophaga castanea
BEARDED BARBET,Lybius dubius
